gene	ko	module	module_name	path	product_ids	product_names	substrate_ids	substrate_names
6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	K00850	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	2,0	C05378	beta-D-Fructose 1,6-bisphosphate	C05345	beta-D-Fructose 6-phosphate
6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	K16370	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	2,1	C05378	beta-D-Fructose 1,6-bisphosphate	C05345	beta-D-Fructose 6-phosphate
ADP-dependent phosphofructokinase [EC:2.7.1.146] [RN:R09084]	K00918	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	2,2	C05378	beta-D-Fructose 1,6-bisphosphate	C05345	beta-D-Fructose 6-phosphate
fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K01623	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	3,0	C00111,C00118	Glycerone phosphate,D-Glyceraldehyde 3-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K01624	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	3,1	C00111,C00118	Glycerone phosphate,D-Glyceraldehyde 3-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K11645	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	3,2	C00111,C00118	Glycerone phosphate,D-Glyceraldehyde 3-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K16305	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	3,3	C00111,C00118	Glycerone phosphate,D-Glyceraldehyde 3-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K16306	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	3,4	C00111,C00118	Glycerone phosphate,D-Glyceraldehyde 3-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
triosephosphate isomerase [EC:5.3.1.1] [RN:R01015]	K01803	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	4,0	C00118	D-Glyceraldehyde 3-phosphate	C00111	Glycerone phosphate
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00134	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	5,0,0,0	C00236	3-Phospho-D-glyceroyl phosphate	C00118	D-Glyceraldehyde 3-phosphate
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00150	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	5,0,0,1	C00236	3-Phospho-D-glyceroyl phosphate	C00118	D-Glyceraldehyde 3-phosphate
phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	K00927	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	5,0,1,0	C00197	3-Phospho-D-glycerate	C00236	3-Phospho-D-glyceroyl phosphate
glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159]	K11389	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	5,1	C00197	3-Phospho-D-glycerate	C00118	D-Glyceraldehyde 3-phosphate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K01834	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	6,0	C00631	2-Phospho-D-glycerate	C00197	3-Phospho-D-glycerate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15633	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	6,1	C00631	2-Phospho-D-glycerate	C00197	3-Phospho-D-glycerate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15634	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	6,2	C00631	2-Phospho-D-glycerate	C00197	3-Phospho-D-glycerate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15635	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	6,3	C00631	2-Phospho-D-glycerate	C00197	3-Phospho-D-glycerate
enolase [EC:4.2.1.11] [RN:R00658]	K01689	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	7,0	C00074	Phosphoenolpyruvate	C00631	2-Phospho-D-glycerate
pyruvate kinase [EC:2.7.1.40] [RN:R00200]	K00873	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	8,0	C00022	Pyruvate	C00074	Phosphoenolpyruvate
pyruvate kinase [EC:2.7.1.40] [RN:R00200]	K12406	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	8,1	C00022	Pyruvate	C00074	Phosphoenolpyruvate
triosephosphate isomerase [EC:5.3.1.1] [RN:R01015]	K01803	M00002	Glycolysis, core module involving three-carbon compounds	0,0	C00118	D-Glyceraldehyde 3-phosphate	C00111	Glycerone phosphate
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00134	M00002	Glycolysis, core module involving three-carbon compounds	1,0,0,0	C00236	3-Phospho-D-glyceroyl phosphate	C00118	D-Glyceraldehyde 3-phosphate
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00150	M00002	Glycolysis, core module involving three-carbon compounds	1,0,0,1	C00236	3-Phospho-D-glyceroyl phosphate	C00118	D-Glyceraldehyde 3-phosphate
phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	K00927	M00002	Glycolysis, core module involving three-carbon compounds	1,0,1,0	C00197	3-Phospho-D-glycerate	C00236	3-Phospho-D-glyceroyl phosphate
glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6] [RN:R07159]	K11389	M00002	Glycolysis, core module involving three-carbon compounds	1,1	C00197	3-Phospho-D-glycerate	C00118	D-Glyceraldehyde 3-phosphate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K01834	M00002	Glycolysis, core module involving three-carbon compounds	2,0	C00631	2-Phospho-D-glycerate	C00197	3-Phospho-D-glycerate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15633	M00002	Glycolysis, core module involving three-carbon compounds	2,1	C00631	2-Phospho-D-glycerate	C00197	3-Phospho-D-glycerate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15634	M00002	Glycolysis, core module involving three-carbon compounds	2,2	C00631	2-Phospho-D-glycerate	C00197	3-Phospho-D-glycerate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15635	M00002	Glycolysis, core module involving three-carbon compounds	2,3	C00631	2-Phospho-D-glycerate	C00197	3-Phospho-D-glycerate
enolase [EC:4.2.1.11] [RN:R00658]	K01689	M00002	Glycolysis, core module involving three-carbon compounds	3,0	C00074	Phosphoenolpyruvate	C00631	2-Phospho-D-glycerate
pyruvate kinase [EC:2.7.1.40] [RN:R00200]	K00873	M00002	Glycolysis, core module involving three-carbon compounds	4,0	C00022	Pyruvate	C00074	Phosphoenolpyruvate
pyruvate kinase [EC:2.7.1.40] [RN:R00200]	K12406	M00002	Glycolysis, core module involving three-carbon compounds	4,1	C00022	Pyruvate	C00074	Phosphoenolpyruvate
phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]	K01596	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	0,0	C00074	Phosphoenolpyruvate	C00036	Oxaloacetate
phosphoenolpyruvate carboxykinase [EC:4.1.1.32 4.1.1.49] [RN:R00431 R00726 R00341]	K01610	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	0,1	C00074	Phosphoenolpyruvate	C00036	Oxaloacetate
enolase [EC:4.2.1.11] [RN:R00658]	K01689	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	1,0	C00631	2-Phospho-D-glycerate	C00074	Phosphoenolpyruvate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K01834	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	2,0	C00197	3-Phospho-D-glycerate	C00631	2-Phospho-D-glycerate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15633	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	2,1	C00197	3-Phospho-D-glycerate	C00631	2-Phospho-D-glycerate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15634	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	2,2	C00197	3-Phospho-D-glycerate	C00631	2-Phospho-D-glycerate
phosphoglycerate mutase [EC:5.4.2.11 5.4.2.12] [RN:R01518]	K15635	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	2,3	C00197	3-Phospho-D-glycerate	C00631	2-Phospho-D-glycerate
phosphoglycerate kinase [EC:2.7.2.3] [RN:R01512]	K00927	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	3,0	C00236	3-Phospho-D-glyceroyl phosphate	C00197	3-Phospho-D-glycerate
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00134	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	4,0	C00118	(2R)-2-Hydroxy-3-(phosphonooxy)-propanal	C00236	3-Phospho-D-glyceroyl phosphate
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12 1.2.1.59] [RN:R01061 R01063]	K00150	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	4,1	C00118	(2R)-2-Hydroxy-3-(phosphonooxy)-propanal	C00236	3-Phospho-D-glyceroyl phosphate
triosephosphate isomerase (TIM) [EC:5.3.1.1] [RN:R01015]	K01803	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	5,0	C00111	Glycerone phosphate	C00118	(2R)-2-Hydroxy-3-(phosphonooxy)-propanal
fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K01623	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	6,0,0,0	C05378	beta-D-Fructose 1,6-bisphosphate	C00111,C00118	Glycerone phosphate,(2R)-2-Hydroxy-3-(phosphonooxy)-propanal
fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K01624	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	6,0,0,1	C05378	beta-D-Fructose 1,6-bisphosphate	C00111,C00118	Glycerone phosphate,(2R)-2-Hydroxy-3-(phosphonooxy)-propanal
fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	K11645	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	6,0,0,2	C05378	beta-D-Fructose 1,6-bisphosphate	C00111,C00118	Glycerone phosphate,(2R)-2-Hydroxy-3-(phosphonooxy)-propanal
fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	K03841	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	6,0,1,0	C05345	beta-D-Fructose 6-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	K02446	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	6,0,1,1	C05345	beta-D-Fructose 6-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	K11532	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	6,0,1,2	C05345	beta-D-Fructose 6-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	K01086	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	6,0,1,3	C05345	beta-D-Fructose 6-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
fructose-1,6-bisphosphatase [EC:3.1.3.11] [RN:R04780]	K04041	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	6,0,1,4	C05345	beta-D-Fructose 6-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11] [RN:R01070 R04780]	K01622	M00003	Gluconeogenesis, oxaloacetate => fructose-6P	6,1	C05345	beta-D-Fructose 6-phosphate	C05378	beta-D-Fructose 1,6-bisphosphate
hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035]	K13937	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	0,0	C00345	6-Phospho-D-gluconate	C01236	D-Glucono-1,5-lactone 6-phosphate
glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	K00036	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	0,1,0,0	C01236	D-Glucono-1,5-lactone 6-phosphate	C01172	beta-D-Glucose 6-phosphate
glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	K19243	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	0,1,0,1	C01236	D-Glucono-1,5-lactone 6-phosphate	C01172	beta-D-Glucose 6-phosphate
6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K01057	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	0,1,1,0	C00345	6-Phospho-D-gluconate	C01236	D-Glucono-1,5-lactone 6-phosphate
6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K07404	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	0,1,1,1	C00345	6-Phospho-D-gluconate	C01236	D-Glucono-1,5-lactone 6-phosphate
6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221]	K00033	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	1,0	C00199	D-Ribulose 5-phosphate	C00345	6-Phospho-D-gluconate
ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	K01783	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	2,0	C00231	D-Xylulose 5-phosphate	C00199	D-Ribulose 5-phosphate
ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	K01807	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	3,0	C00117	D-Ribose 5-phosphate	C00199	D-Ribulose 5-phosphate
ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	K01808	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	3,1	C00117	D-Ribose 5-phosphate	C00199	D-Ribulose 5-phosphate
transketolase [EC:2.2.1.1] [RN:R01641]	K00615	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	4,0	C05382,C00118	Sedoheptulose 7-phosphate,D-Glyceraldehyde 3-phosphate	C00117,C00231	D-Ribose 5-phosphate,D-Xylulose 5-phosphate
transaldolase [EC:2.2.1.2] [RN:R01827]	K00616	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	5,0	C00279,C05345	D-Erythrose 4-phosphate,beta-D-Fructose 6-phosphate	C05382,C00118	Sedoheptulose 7-phosphate,D-Glyceraldehyde 3-phosphate
glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	K01810	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	6,0	C01172	beta-D-Glucose 6-phosphate	C00668	alpha-D-Glucose 6-phosphate
glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	K06859	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	6,1	C01172	beta-D-Glucose 6-phosphate	C00668	alpha-D-Glucose 6-phosphate
glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	K13810	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	6,2	C01172	beta-D-Glucose 6-phosphate	C00668	alpha-D-Glucose 6-phosphate
glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	K15916	M00004	Pentose phosphate pathway (Pentose phosphate cycle)	6,3	C01172	beta-D-Glucose 6-phosphate	C00668	alpha-D-Glucose 6-phosphate
ribose-phosphate pyrophosphokinase [EC:2.7.6.1] [RN:R01049]	K00948	M00005	PRPP biosynthesis, ribose 5P => PRPP	0,0	C00119	5-Phospho-alpha-D-ribose 1-diphosphate	C00117	D-Ribose 5-phosphate
hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035]	K13937	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0,0	C00345	6-Phospho-D-gluconate	C01236	D-Glucono-1,5-lactone 6-phosphate
glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	K00036	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0,1,0,0	C01236	D-Glucono-1,5-lactone 6-phosphate	C01172	beta-D-Glucose 6-phosphate
glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	K19243	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0,1,0,1	C01236	D-Glucono-1,5-lactone 6-phosphate	C01172	beta-D-Glucose 6-phosphate
6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K01057	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0,1,1,0	C00345	6-Phospho-D-gluconate	C01236	D-Glucono-1,5-lactone 6-phosphate
6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K07404	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	0,1,1,1	C00345	6-Phospho-D-gluconate	C01236	D-Glucono-1,5-lactone 6-phosphate
6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221]	K00033	M00006	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	1,0	C00199	D-Ribulose 5-phosphate	C00345	6-Phospho-D-gluconate
transketolase [EC:2.2.1.1] [RN:R01830 R01641]	K00615	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	0,0	C00117,C00231	D-Ribose 5-phosphate,D-Xylulose 5-phosphate	C05382,C00118	Sedoheptulose 7-phosphate,D-Glyceraldehyde 3-phosphate
transaldolase [EC:2.2.1.2] [RN:R01827]	K00616	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	1,0	C05382,C00118	Sedoheptulose 7-phosphate,D-Glyceraldehyde 3-phosphate	C00279,C05345	D-Erythrose 4-phosphate,beta-D-Fructose 6-phosphate
transaldolase [EC:2.2.1.2] [RN:R01827]	K13810	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	1,1	C05382,C00118	Sedoheptulose 7-phosphate,D-Glyceraldehyde 3-phosphate	C00279,C05345	D-Erythrose 4-phosphate,beta-D-Fructose 6-phosphate
ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	K01783	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	2,0	C00199	D-Ribulose 5-phosphate	C00231	D-Xylulose 5-phosphate
ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	K01807	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3,0	C00117	D-Ribose 5-phosphate	C00199	D-Ribulose 5-phosphate
ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	K01808	M00007	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	3,1	C00117	D-Ribose 5-phosphate	C00199	D-Ribulose 5-phosphate
glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363] [RN:R02736 R10907]	K00036	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	0,0	C01236	D-Glucono-1,5-lactone 6-phosphate	C01172	beta-D-Glucose 6-phosphate
6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K01057	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1,0	C00345	6-Phospho-D-gluconate	C01236	D-Glucono-1,5-lactone 6-phosphate
6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	K07404	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	1,1	C00345	6-Phospho-D-gluconate	C01236	D-Glucono-1,5-lactone 6-phosphate
phosphogluconate dehydratase [EC:4.2.1.12] [RN:R02036]	K01690	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	2,0	C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	C00345	6-Phospho-D-gluconate
2-dehydro-3-deoxyphosphogluconate aldolase [EC:4.1.2.14] [RN:R05605]	K01625	M00008	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	3,0	C00118,C00022	D-Glyceraldehyde 3-phosphate,Pyruvate	C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate
citrate synthase [EC:2.3.3.1] [RN:R00351]	K01647	M00009	Citrate cycle (TCA cycle, Krebs cycle)	0,0	C00158	Citrate	C00024,C00036	Acetyl-CoA,Oxaloacetate
citrate (Re)-synthase [EC:2.3.3.3] [RN:R00351]	K05942	M00009	Citrate cycle (TCA cycle, Krebs cycle)	0,1	C00158	Citrate	C00024,C00036	Acetyl-CoA,Oxaloacetate
aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	K01681	M00009	Citrate cycle (TCA cycle, Krebs cycle)	1,0	C00311	Isocitrate	C00158	Citrate
aconitate hydratase [EC:4.2.1.3] [RN:R01325 R01900 R01324]	K01682	M00009	Citrate cycle (TCA cycle, Krebs cycle)	1,1	C00311	Isocitrate	C00158	Citrate
isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	K00031	M00009	Citrate cycle (TCA cycle, Krebs cycle)	2,0	C00026	2-Oxoglutarate	C00311	Isocitrate
isocitrate dehydrogenase [EC:1.1.1.42 1.1.1.41] [RN:R01899 R00268 R00267 R00709]	K00030	M00009	Citrate cycle (TCA cycle, Krebs cycle)	2,1	C00026	2-Oxoglutarate	C00311	Isocitrate
2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	K00164	M00009	Citrate cycle (TCA cycle, Krebs cycle)	3,0	C15972	Enzyme N6-(lipoyl)lysine	C15973	Enzyme N6-(dihydrolipoyl)lysine
2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	K00658	M00009	Citrate cycle (TCA cycle, Krebs cycle)	3,0	C15972	Enzyme N6-(lipoyl)lysine	C15973	Enzyme N6-(dihydrolipoyl)lysine
2-oxoglutarate dehydrogenase complex [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	K00382	M00009	Citrate cycle (TCA cycle, Krebs cycle)	3,0	C15972	Enzyme N6-(lipoyl)lysine	C15973	Enzyme N6-(dihydrolipoyl)lysine
2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197]	K00174	M00009	Citrate cycle (TCA cycle, Krebs cycle)	3,1	C00091	Succinyl-CoA	C00026	2-Oxoglutarate
2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197]	K00175	M00009	Citrate cycle (TCA cycle, Krebs cycle)	3,1	C00091	Succinyl-CoA	C00026	2-Oxoglutarate
2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197]	K00177	M00009	Citrate cycle (TCA cycle, Krebs cycle)	3,1	C00091	Succinyl-CoA	C00026	2-Oxoglutarate
2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197]	K00176	M00009	Citrate cycle (TCA cycle, Krebs cycle)	3,1	C00091	Succinyl-CoA	C00026	2-Oxoglutarate
succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	K01902	M00009	Citrate cycle (TCA cycle, Krebs cycle)	4,0	C00042	Succinate	C00091	Succinyl-CoA
succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	K01903	M00009	Citrate cycle (TCA cycle, Krebs cycle)	4,0	C00042	Succinate	C00091	Succinyl-CoA
succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	K01899	M00009	Citrate cycle (TCA cycle, Krebs cycle)	4,1	C00042	Succinate	C00091	Succinyl-CoA
succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	K01900	M00009	Citrate cycle (TCA cycle, Krebs cycle)	4,1	C00042	Succinate	C00091	Succinyl-CoA
