gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	note	reference
K17525	Chitinase-like enzyme [EC:3.2.1.14]	Additional chitin-degrading hydrolase	ag	Nitrogen Cycling	Mineralization		
K01150	ednA, deoxyribonuclease I [EC:3.1.21.1]	Extracellular nuclease; degrades DNA to release organic N	ag	Nitrogen Cycling	Mineralization		Sieradzki et al., "Expression of Macromolecular Organic Nitrogen Degrading Enzymes Identifies Potential Mediators of Soil Organic N Availability to an Annual Grass."
A01		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A02		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A05	Endopeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A08	Endopeptidase, the bacterial signal peptidase II	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A11		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A22		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A24		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A26	Membrane-inserted endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A28		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A31	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A32	PerP peptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
A37	Pepstatin-insensitive aspartic endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Aspartic	
C01		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C02		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C10	Bacterial cysteine endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C11		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C110	Cysteine endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C113	IgdE peptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C13	Asparaginyl endopeptidases and glycosylphosphatidylinositol:protein transamidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C14		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C15	Omega peptidases that release an N-terminal pyroglutamate residue	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C19	Ubiquitinyl hydrolases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C25	Cysteine endopeptidases from bacteria, notably gingipain R (##C25001##) and gingipain K (##C25002##)	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C26	Omega peptidase gamma-glutamyl hydrolase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C39	Bacteriocin-processing endopeptidases from bacteria	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C40	Bacterial cell-wall modifying enzymes	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C44	Self-processing precursor of amidophosphoribosyltransferase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C45	Autolytic endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C46	C-terminal, intein-like domains of the hedgehog proteins, which mediate autolytic cleavage of the proteins	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C47	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C51	Endopeptidases that hydrolyse bacterial cell-wall crosslinking peptides	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C56	PfpI endopeptidase of {Pyrococcus furiosus}	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C59	Cys-dependent Ntn-hydrolases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C60		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C66	Bacterial endopeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C69	Dipeptidases and aminopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C82		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C83	Exopeptidases some of which also have transferase activity	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C89	Self-cleaving precursor protein	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
C93	LapG peptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Cysteine	
G01	Endopeptidases from fungi	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Glutamic	
M01	Aminopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M02	Metallo-exopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M03		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M04	Metalloendopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M05	Metalloendopeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M06	Metalloendopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M07	Metalloendopeptidase, snapalysin	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M08	Metallo-endopeptidase leishmanolysin and its homologues	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M09		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M10		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M11	A metallo-endopeptidase, gametolysin	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M12		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M13	Metalloendopeptidases restricted to action on substrates smaller than proteins	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M14		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M15		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M16		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M17	Aminopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M18	Metalloaminopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M19	Dipeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M20		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M23		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M24		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M26	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M28		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M30	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M32	Metallocarboxypeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M34	Highly-selective bacterial endopeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M35	Fungal metalloendopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M36	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M38	An omega peptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M41	ATP-dependent metalloendopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M42	Metalloaminopeptidases some of which also have acylaminoacylpeptidase activity	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M43		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M44	Metalloendopeptidase from the pox viruses	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M48		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M49	Dipeptidylpeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M50		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M54	Aminopeptidases, sometimes termed archaelysins or archaemetzincins	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M55	Aminopeptidase and a number of uncharacterised putative peptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M56	Membrane-bound bacterial endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M57	Endopeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M60	Metalloendopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M61	Aminopeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M64	Highly selective metalloendopeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M66	A single metallopeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M67		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M72	Metallo-endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M73	Metallo-endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M74	Murein endopeptidase MepA	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M75	Metalloendopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M76	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M78	Metallo-endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M79	Specialised endopeptidases that typically cleave a C-terminal tripeptide from an isoprenylated protein	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M81	Metallopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M82	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M84	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M85	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M86	Poly-gamma-glutamyl hydrolases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M88	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M93		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M96	signaling peptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M97		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
M98		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Metallo	
N04	Tsh-associated self-cleaving domain	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Asparagine	
N10		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Asparagine	
N11	Self-cleaving proteins	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Asparagine	
P01	Aminopeptidases and self-processing proteins	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Mixed	
S01		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S06	Serine endopeptidases of bacteria	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S08		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S09		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S10	Carboxypeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S11	Serine-type D-Ala-D-Ala carboxypeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S12	Serine-type D-Ala-D-Ala carboxypeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S13	Peptidases that cleave D-Ala bonds, acting either as carboxypeptidases or as atypical 'endopeptidases'	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S14	Endopeptidase Clp and its homologues	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S15	Xaa-Pro dipeptidyl peptidase and its homologues	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S16	Endopeptidases, mostly ATP-dependent	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S24	Two-domain proteins that undergo autolysis, separating the functional domains	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S26		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S28	Exopeptidases that hydrolyse prolyl bonds, and are known only from eukaryotes	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S33	Exopeptidases that act at the N-terminus of peptides	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S37	Tripeptidyl-peptidase from {Streptomyces}	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S41		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S45	Self-cleaving precursor proteins of N-terminal nucleophile acylases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S46	Dipeptidyl-peptidases from bacteria	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S49		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S50	Polyprotein processing endopeptidases from double-stranded RNA viruses	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S51	Exopeptidases that hydrolyse alpha-aspartyl bonds	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S53	Acid-acting endopeptidases and a tripeptidyl-peptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S54	Membrane-bound serine endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S55	Endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S59	Autolytic endopeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S60	Endopeptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S66	Bacterial LD-carboxypeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
S73	Serine endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Serine	
T01		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Threonine	
T02	N-terminal nucleophile hydrolases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Threonine	
T03	Self-processing proteins that express aminopeptidase as well as aminotransferase activities in their mature forms	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Threonine	
T05	Self-processing ornithine acetyltransferase precursor	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Threonine	
T07	CwpV (Clostridium difficile) self-cleaving threonine peptidase	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Threonine	
U32	Endopeptidases from bacteria	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Unknown	
U62	Microcin-processing peptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Unknown	
U69	Self-processing peptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Unknown	
U72	Isopeptidase and endopeptidases	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Unknown	
U73		Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Unknown	
U74	neprosin	Extracellular peptidases	ag	Nitrogen Cycling	Mineralization	Unknown	
K01428	ureC, urease subunit alpha (largest aplha unit of protein structure) (EC 3.5.1.5)	Urea Degradation	ag	Nitrogen Cycling	Urea Transformation		
K01429	ureB, urease subunit beta (EC 3.5.1.5)	Urea Degradation	ag	Nitrogen Cycling	Urea Transformation		
K01430	ureA, urease subunit gamma (EC 3.5.1.5)	Urea Degradation	ag	Nitrogen Cycling	Urea Transformation		
K10944	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification= ammonia => nitrite	ag	Nitrogen Cycling	Ammonium Transformation		
K10945	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification= ammonia => nitrite	ag	Nitrogen Cycling	Ammonium Transformation		
K10946	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification= ammonia => nitrite	ag	Nitrogen Cycling	Ammonium Transformation		
K10535	hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]	Nitrification= ammonia => nitrite	ag	Nitrogen Cycling	Ammonium Transformation		
K00261	glutamate dehydrogenase, gdhA	alpha-ketoglutarate + NH3 -> glutamate	ag	Nitrogen Cycling	Assimilation	Addtion/Retention	
K01915	glutamine synthetase glnA, [EC: 6.3.1.2]	NH3 + glutamate -> Glutamine; GS pathway	ag	Nitrogen Cycling	Addtion/Retention	Addtion/Retention	
K00982	glnE; regulator	regulator of GS, up or down based on N abundnace	ag	Nitrogen Cycling	Addtion/Retention	Addtion/Retention	
K00266	gltD; subunit	GOGAT pathway	ag	Nitrogen Cycling	Addtion/Retention	Addtion/Retention	
K19338	Nac protein; N assimilation regulator	gltBDF repressor	ag	Nitrogen Cycling	Addtion/Retention	Addtion/Retention	
K01914	asnA Asparagine synthase A	ammonium dependent; expression is repressed under N-limiting conditions	ag	Nitrogen Cycling	Addtion/Retention	Addtion/Retention	
K01953	asnB Asparagine synthase B	glutamine dependent 	ag	Nitrogen Cycling	Addtion/Retention	Addtion/Retention	
K01916 	efg (nadE), ammonium-dependent NAD synthetase		ag	Nitrogen Cycling	Addtion/Retention	Addtion/Retention	
K01956 	carA, subunit of carbamoyl phosphate synthetase	Carbamoyl phosphate syntheized from bicarbonate, ATP, and glutamine	ag	Nitrogen Cycling	Addtion/Retention	Addtion/Retention	
K01955	carB, subunit of carbamoyl phosphate synthetase	Carbamoyl phosphate syntheized from bicarbonate, ATP, and glutamine	ag	Nitrogen Cycling	Addtion/Retention	Addtion/Retention	
K03320	amtB, ammonia transporter	transmembrane transporter and extracellular NH4+ sensor; expressed in low NH4+	ag	Nitrogen Cycling	Addtion/Retention		
