gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	potential_amg
K00658	2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00382	2-oxoglutarate dehydrogenase [EC:1.2.4.2 2.3.1.61 1.8.1.4] [RN:R00621 R03316 R02570 R07618]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11] [RN:R01197]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11] [RN:R01197]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00177	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3] [RN:R01197]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00176	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3] [RN:R01197]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K01902	succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K01903	succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K01899	succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K01900	succinyl-CoA synthetase [EC:6.2.1.4 6.2.1.5] [RN:R00405 R00432 R00727]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K18118	succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18] [RN:R10343]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00234	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00235	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00236	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00237	succinate dehydrogenase [EC:1.3.5.1] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00239	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00240	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00241	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00242	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K18859	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K18860	succinate dehydrogenase / fumarate reductase [EC:1.3.5.1 1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00244	fumarate reductase [EC:1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00245	fumarate reductase [EC:1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00246	fumarate reductase [EC:1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00247	fumarate reductase [EC:1.3.5.4] [RN:R02164]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K01676	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K01679	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K01677	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K01678	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00026	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00025	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00116	malate dehydrogenase (quinone) [EC:1.1.5.4] [RN:R00361]	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	carbon utilization	central carbon	TCA	TRUE
K00169	pyruvate ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00170	pyruvate ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00171	pyruvate ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00172	pyruvate ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K01959	pyruvate carboxylase [EC:6.4.1.1] [RN:R00344]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K01960	pyruvate carboxylase [EC:6.4.1.1] [RN:R00344]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00024	malate dehydrogenase [EC:1.1.1.37] [RN:R00342]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K01677	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K01678	fumarate hydratase [EC:4.2.1.2] [RN:R01082]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K18209	fumarate reductase (CoM/CoB) [EC:1.3.4.1] [RN:R10660]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K18210	fumarate reductase (CoM/CoB) [EC:1.3.4.1] [RN:R10660]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K01902	succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K01903	succinyl-CoA synthetase [EC:6.2.1.5] [RN:R00405]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00174	2-oxoglutarate ferredoxin oxidoreductase [EC:1.2.7.3] [RN:R01197]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00175	2-oxoglutarate ferredoxin oxidoreductase [EC:1.2.7.3] [RN:R01197]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00176	2-oxoglutarate ferredoxin oxidoreductase [EC:1.2.7.3] [RN:R01197]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00177	2-oxoglutarate ferredoxin oxidoreductase [EC:1.2.7.3] [RN:R01197]	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	carbon utilization	central carbon	TCA	TRUE
K00027	malate dehydrogenase (oxaloacetate-decarboxylating)	TCA /Reductive TCA	carbon utilization	central carbon	TCA	TRUE
K13937	hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K19243	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K01057	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K07404	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K01807	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K00615	transketolase [EC:2.2.1.1] [RN:R01641]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K06859	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K13810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K15916	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740 R02739]	Pentose phosphate pathway (Pentose phosphate cycle)	carbon utilization	central carbon	pentose pathway	TRUE
K00948	ribose-phosphate pyrophosphokinase [EC:2.7.6.1] [RN:R01049]	PRPP biosynthesis, ribose 5P => PRPP	carbon utilization	central carbon	pentose pathway	TRUE
K13937	hexose-6-phosphate dehydrogenase [EC:1.1.1.47 3.1.1.31] [RN:R02736 R02035]	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K00036	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K19243	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363 1.1.1.388] [RN:R02736 R10907]	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K01057	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K07404	6-phosphogluconolactonase [EC:3.1.1.31] [RN:R02035]	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K00033	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343] [RN:R01528 R10221]	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K00615	transketolase [EC:2.2.1.1] [RN:R01830 R01641]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K00616	transaldolase [EC:2.2.1.2] [RN:R01827]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K13810	transaldolase [EC:2.2.1.2] [RN:R01827]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K01783	ribulose-phosphate 3-epimerase [EC:5.1.3.1] [RN:R01529]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K01807	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K01808	ribose 5-phosphate isomerase [EC:5.3.1.6] [RN:R01056]	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K08094	6-phospho-3-hexuloisomerase [EC:5.3.1.27] [RN:R09780]	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K08093	3-hexulose-6-phosphate synthase [EC:4.1.2.43] [RN:R05338]	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K13812	3-hexulose-6-phosphate synthase [EC:4.1.2.43] [RN:R05338]	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K13831	6-phospho-3-hexuloisomerase [EC:5.3.1.27] [RN:R09780]	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K01807	ribose 5-phosphate isomerase A [EC:5.3.1.6] [RN:R01056]	Pentose phosphate pathway, archaea, fructose 6P => ribose 5P	carbon utilization	central carbon	pentose pathway	TRUE
K01053	gluconolactonase	Pentose phosphate pathway	carbon utilization	central carbon	pentose pathway	TRUE
K00844	hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K12407	hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K00845	hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K00886	polyphosphate glucokinase [EC:2.7.1.63] [RN:R02189]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K08074	K00918 ADP-dependent glucokinase [EC:2.7.1.147] [RN:R09085]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K00918	ADP-dependent phosphofructokinase [EC:2.7.1.146] [RN:R09084]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K01810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K06859	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K13810	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K15916	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K00850	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K16370	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K01623	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
K01624	fructose-bisphosphate aldolase [EC:4.1.2.13] [RN:R01070]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	carbon utilization	central carbon	glycolysis	TRUE
