gene_id	gene_description	pathway	topic_ecosystem	category	subcategory
K00371	nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	Complete nitrification= comammox= ammonia => nitrite => nitrate	ag	Nitrogen 	
K10535	hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]	Complete nitrification= comammox= ammonia => nitrite => nitrate	ag	Nitrogen 	
K10944	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Complete nitrification= comammox= ammonia => nitrite => nitrate	ag	Nitrogen 	
K10945	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Complete nitrification= comammox= ammonia => nitrite => nitrate	ag	Nitrogen 	
K10946	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Complete nitrification= comammox= ammonia => nitrite => nitrate	ag	Nitrogen 	
K00368	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	Denitrification= nitrate => nitrogen	ag	Nitrogen 	
K00370	nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Denitrification= nitrate => nitrogen	ag	Nitrogen 	
K00371	nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Denitrification= nitrate => nitrogen	ag	Nitrogen 	
K00374	nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Denitrification= nitrate => nitrogen	ag	Nitrogen 	
K00376	nitrous-oxide reductase [EC:1.7.2.4] [RN:R02804]	Denitrification= nitrate => nitrogen	ag	Nitrogen 	
K02305	nitric oxide reductase [EC:1.7.2.5] [RN:R00294]	Denitrification= nitrate => nitrogen	ag	Nitrogen 	
K02567	periplasmic nitrate reductase NapA [EC:1.7.99.-] [RN:R00798]	Denitrification= nitrate => nitrogen	ag	Nitrogen 	
K02568	cytochrome c-type protein NapB [RN:R00798]	Denitrification= nitrate => nitrogen	ag	Nitrogen 	
K04561	nitric oxide reductase [EC:1.7.2.5] [RN:R00294]	Denitrification= nitrate => nitrogen	ag	Nitrogen 	
K15864	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	Denitrification= nitrate => nitrogen	ag	Nitrogen 	
K00362	respiratory nitrite reductase [EC:1.7.1.15] [RN:R00787]	Dissimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K00363	respiratory nitrite reductase [EC:1.7.1.15] [RN:R00787]	Dissimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K00370	respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K00371	respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K00374	respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K02567	dissimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K02568	dissimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K03385	respiratory nitrite reductase [EC:1.7.2.2] [RN:R05712]	Dissimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K15876	respiratory nitrite reductase [EC:1.7.2.2] [RN:R05712]	Dissimilatory nitrate reduction= nitrate => ammonia	ag	Nitrogen 	
K02575	NRT; MFS transporter= NNP family= nitrate/nitrite transporter	Nitrate assimilation	ag	Nitrogen 	
K10535	hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]	Nitrification= ammonia => nitrite	ag	Nitrogen 	
K10944	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification= ammonia => nitrite	ag	Nitrogen 	
K10945	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification= ammonia => nitrite	ag	Nitrogen 	
K10946	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification= ammonia => nitrite	ag	Nitrogen 	
K00531	nitrogenase delta subunit [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen	
K02586	nitrogenase molybdenum-iron protein [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen	
K02588	nitrogenase iron protein [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen	
K02591	nitrogenase molybdenum-iron protein [EC:1.18.6.1] [RN:R05185]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen	
K22896	vanadium-dependent nitrogenase [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen	
K22897	vanadium-dependent nitrogenase [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen	
K22898	vanadium nitrogenase delta subunit [EC:1.18.6.2] [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen	
K22899	vanadium nitrogenase iron protein [RN:R12084]	Nitrogen fixation, nitrogen => ammonia	ag	Nitrogen	
K00466	tryptophan 2-monooxygenase [EC:1.13.12.3],iaaM	IAA production	ag	Plant Growth Regulators	IAA Production: route 1, step 1
K21801	indoleacetamid hydrolase [EC:3.5.1.4],iaaH	IAA production	ag	Plant Growth Regulators	IAA Production: route 1, step 2
K14265	tryptophan aminotransferase [EC:2.6.1.27],Tam1	IAA production	ag	Plant Growth Regulators	IAA Production: route 2, step 1
K04103	indolepyruvate decarboxylase [EC:4.1.1.74],ipdC	IAA production	ag	Plant Growth Regulators	IAA Production: route 2, step 2
K11817	indole-3-acetaldehyde oxidase [EC:1.2.3.7],AAO1_2	IAA production	ag	Plant Growth Regulators	IAA Production: route 2, step 3
K01593	aromatic-L-amino-acid/L-tryptophan decarboxylase,DDC	IAA production	ag	Plant Growth Regulators	IAA Production: route 3, step 1
K11182	diamine oxidase [EC:1.4.3.22],AOC1	IAA production	ag	Plant Growth Regulators	IAA Production: route 3, step 2
K00128	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3],ALDH	IAA production	ag	Plant Growth Regulators	IAA Production: route 3, step 3
K11812	tryptophan N-monooxygenase [EC:1.14.14.156],CYP79B1_2	IAA production	ag	Plant Growth Regulators	IAA Production: route 4, step 1
K11868	indoleacetaldoxime dehydratase [EC:4.99.1.6],CYP71A13	IAA production	ag	Plant Growth Regulators	IAA Production: route 4, step 2
K01501	nitrilase [EC:3.5.5.1]	IAA production	ag	Plant Growth Regulators	IAA Production: route 4, step 3
K03334	L-amino-acid oxidase [EC:1.4.3.2],IL4I1	IAA production	ag	Plant Growth Regulators	IAA Production: route 2, step 1
K16903	L-tryptophan---pyruvate aminotransferase [EC:2.6.1.99], TAA1	IAA production	ag	Plant Growth Regulators	IAA Production: route 2, step 2
K00274	monoamine oxidase [EC:1.4.3.4], MAO	IAA production	ag	Plant Growth Regulators	IAA Production: route 3, step 2
K01851	isochorismate synthase [EC: 5.4.4.2]	Salicylate Production	ag	Plant Growth Regulators	Salicylate Production: route 1, step 1
K04782	isochorismate pyruvate lyase [EC: 4.2.99.21]	Salicylate Production	ag	Plant Growth Regulators	Salicylate Production: route 1, step 2
unknown	benzoyl-CoA 2-hydroxylate (Nt) [EC: 1.14.14.-]	Salicylate Production	ag	Plant Growth Regulators	Salicylate Production: route 2, step 1
unknown	no enzyme known in salicylate biosynthesis II [EC: 3.1.2.-]	Salicylate Production	ag	Plant Growth Regulators	Salicylate Production: route 2, step 2
K00480	salicylate monooxygenase [EC: 1.14.13.1]	Salicylate Degradation	ag	Plant Growth Regulators	Salicylate Degradation: route 1
K18242	salicylate-5-hydroxylase large subunit [EC: 1.14.13.172]	Salicylate Degradation	ag	Plant Growth Regulators	Salicylate Degradation: route 2
K18243	salicylate-5-hydroxylase small subunit [EC: 1.14.13.172]	Salicylate Degradation	ag	Plant Growth Regulators	Salicylate Degradation: route 2
4.1.1.91	salicylate decarboxylase [EC: 4.1.1.91]	Salicylate Degradation	ag	Plant Growth Regulators	Salicylate Degradation: route 3
K24408	salicyl-CoA synthase [EC 6.2.1.65]	Salicylate Degradation	ag	Plant Growth Regulators	Salicylate Degradation: route 4, step 1
K21684	salicylyl-CoA 5-hydroxylate [EC 1.14.13.209]	Salicylate Degradation	ag	Plant Growth Regulators	Salicylate Degradation: route 4, step 2
spontaneous	spontaneous	Salicylate Degradation	ag	Plant Growth Regulators	Salicylate Degradation: route 4, step 3
K00450	gentisate 1:2-dioxygenase [EC 1.13.11.4]	Salicylate Degradation	ag	Plant Growth Regulators	Salicylate Degradation: route 4, step 4
A1A	pepsin A (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
A02	HIV-1 retropepsin (human immunodeficiency virus 1)	Extracellular Peptidases	ag	Nitrogen 	
A08	signal peptidase II (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
A11	Copia transposon peptidase (Drosophila melanogaster)	Extracellular Peptidases	ag	Nitrogen 	
A24	type 4 prepilin peptidase 1 (Pseudomonas aeruginosa)	Extracellular Peptidases	ag	Nitrogen 	
A26	omptin (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
A28A	DNA-damage inducible protein 1 (Saccharomyces cerevisiae)	Extracellular Peptidases	ag	Nitrogen 	
A28B	skin SASPase (Mus musculus)	Extracellular Peptidases	ag	Nitrogen 	
A32	PerP peptidase (Caulobacter crescentus)	Extracellular Peptidases	ag	Nitrogen 	
C1A	papain (Carica papaya)	Extracellular Peptidases	ag	Nitrogen 	
C1B	bleomycin hydrolase (Saccharomyces cerevisiae)	Extracellular Peptidases	ag	Nitrogen 	
C02	calpain-2 (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
C10	streptopain (Streptococcus pyogenes)	Extracellular Peptidases	ag	Nitrogen 	
C11	clostripain (Clostridium histolyticum)	Extracellular Peptidases	ag	Nitrogen 	
C110	kyphoscoliosis peptidase (Mus musculus)	Extracellular Peptidases	ag	Nitrogen 	
C113	IgdE peptidase (Streptococcus suis)	Extracellular Peptidases	ag	Nitrogen 	
C13	"	legumain (Canavalia ensiformis)"	Extracellular Peptidases	ag	Nitrogen 	
C14A	caspase-1 (Rattus norvegicus)	Extracellular Peptidases	ag	Nitrogen 	
C14B	metacaspase Yca1 (Saccharomyces cerevisiae)	Extracellular Peptidases	ag	Nitrogen 	
C15	pyroglutamyl-peptidase I (Bacillus amyloliquefaciens)	Extracellular Peptidases	ag	Nitrogen 	
C19	ubiquitin-specific peptidase 14 (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
C25	gingipain RgpA (Porphyromonas gingivalis)	Extracellular Peptidases	ag	Nitrogen 	
C26	"	gamma-glutamyl hydrolase (Rattus norvegicus)"	Extracellular Peptidases	ag	Nitrogen 	
C39	bacteriocin-processing peptidase (Pediococcus acidilactici)	Extracellular Peptidases	ag	Nitrogen 	
C40	dipeptidyl-peptidase VI (Lysinibacillus sphaericus)	Extracellular Peptidases	ag	Nitrogen 	
C44	amidophosphoribosyltransferase precursor (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
C45	acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase precursor (Penicillium chrysogenum)	Extracellular Peptidases	ag	Nitrogen 	
C46	hedgehog protein (Drosophila melanogaster)	Extracellular Peptidases	ag	Nitrogen 	
C47	staphopain A (Staphylococcus aureus)	Extracellular Peptidases	ag	Nitrogen 	
C51	D-alanyl-glycyl peptidase (Staphylococcus aureus)	Extracellular Peptidases	ag	Nitrogen 	
C56	PfpI peptidase (Pyrococcus furiosus)	Extracellular Peptidases	ag	Nitrogen 	
C59	penicillin V acylase precursor (Lysinibacillus sphaericus)	Extracellular Peptidases	ag	Nitrogen 	
C60A	sortase A (Staphylococcus aureus)	Extracellular Peptidases	ag	Nitrogen 	
C60B	sortase B (Staphylococcus aureus)	Extracellular Peptidases	ag	Nitrogen 	
C66	IdeS peptidase (Streptococcus pyogenes)	Extracellular Peptidases	ag	Nitrogen 	
C69	dipeptidase A (Lactobacillus helveticus)	Extracellular Peptidases	ag	Nitrogen 	
C82A	L,D-transpeptidase (Enterococcus faecium)	Extracellular Peptidases	ag	Nitrogen 	
C83	gamma-glutamylcysteine dipeptidyltranspeptidase (Nostoc sp. PCC 7120)	Extracellular Peptidases	ag	Nitrogen 	
C89	acid ceramidase precursor (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
C93	LapG peptidase (Pseudomonas fluorescens)	Extracellular Peptidases	ag	Nitrogen 	
G01	"	scytalidoglutamic peptidase (Scytalidium lignicolum)"	Extracellular Peptidases	ag	Nitrogen 	
M01	aminopeptidase N (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
M02	angiotensin-converting enzyme peptidase unit 1 (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
M3A	thimet oligopeptidase (Rattus norvegicus)	Extracellular Peptidases	ag	Nitrogen 	
M3B	oligopeptidase F (Lactococcus lactis)	Extracellular Peptidases	ag	Nitrogen 	
M04	thermolysin (Bacillus thermoproteolyticus)	Extracellular Peptidases	ag	Nitrogen 	
M05	mycolysin (Streptomyces cacaoi)	Extracellular Peptidases	ag	Nitrogen 	
M06	immune inhibitor A peptidase (Bacillus thuringiensis)	Extracellular Peptidases	ag	Nitrogen 	
M07	"	snapalysin (Streptomyces lividans)"	Extracellular Peptidases	ag	Nitrogen 	
M08	leishmanolysin (Leishmania major)	Extracellular Peptidases	ag	Nitrogen 	
M9A	collagenase V (Vibrio alginolyticus)	Extracellular Peptidases	ag	Nitrogen 	
M9B	bacterial collagenase H (Clostridium histolyticum)	Extracellular Peptidases	ag	Nitrogen 	
M10A	"	matrix metallopeptidase-1 (Homo sapiens)"	Extracellular Peptidases	ag	Nitrogen 	
M10B	serralysin (Serratia marcescens)	Extracellular Peptidases	ag	Nitrogen 	
M10C	fragilysin (Bacteroides fragilis)	Extracellular Peptidases	ag	Nitrogen 	
M11	gametolysin (Chlamydomonas reinhardtii)	Extracellular Peptidases	ag	Nitrogen 	
M12A	astacin (Astacus astacus)	Extracellular Peptidases	ag	Nitrogen 	
M12B	adamalysin (Crotalus adamanteus)	Extracellular Peptidases	ag	Nitrogen 	
M13	neprilysin (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
M14A	carboxypeptidase A1 (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
M14B	carboxypeptidase E (Bos taurus)	Extracellular Peptidases	ag	Nitrogen 	
M14C	gamma-D-glutamyl--meso-diaminopimelate peptidase I (Lysinibacillus sphaericus)	Extracellular Peptidases	ag	Nitrogen 	
M14D	cytosolic carboxypeptidase 6 (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
M17	leucyl aminopeptidase 3 (Bos taurus)	Extracellular Peptidases	ag	Nitrogen 	
M18	aminopeptidase I (Saccharomyces cerevisiae)	Extracellular Peptidases	ag	Nitrogen 	
M19	"	membrane dipeptidase (Homo sapiens)"	Extracellular Peptidases	ag	Nitrogen 	
M20A	glutamate carboxypeptidase (Pseudomonas sp.)	Extracellular Peptidases	ag	Nitrogen 	
M20B	peptidase T (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
M20C	Xaa-His dipeptidase (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
M20D	carboxypeptidase Ss1 (Sulfolobus solfataricus)	Extracellular Peptidases	ag	Nitrogen 	
M20F	carnosine dipeptidase II (Mus musculus)	Extracellular Peptidases	ag	Nitrogen 	
M30	hyicolysin (Staphylococcus hyicus)	Extracellular Peptidases	ag	Nitrogen 	
M32	carboxypeptidase Taq (Thermus aquaticus)	Extracellular Peptidases	ag	Nitrogen 	
M34	anthrax lethal factor (Bacillus anthracis)	Extracellular Peptidases	ag	Nitrogen 	
M35	deuterolysin (Aspergillus flavus)	Extracellular Peptidases	ag	Nitrogen 	
M36	fungalysin (Aspergillus fumigatus)	Extracellular Peptidases	ag	Nitrogen 	
M38	"	isoaspartyl dipeptidase (Escherichia coli)"	Extracellular Peptidases	ag	Nitrogen 	
M41	FtsH peptidase (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
M42	glutamyl aminopeptidase (Lactococcus lactis)	Extracellular Peptidases	ag	Nitrogen 	
M43A	cytophagalysin (Cytophaga sp.)	Extracellular Peptidases	ag	Nitrogen 	
M43B	pappalysin-1 (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
M44	pox virus metallopeptidase (Vaccinia virus)	Extracellular Peptidases	ag	Nitrogen 	
M48A	Ste24 peptidase (Saccharomyces cerevisiae)	Extracellular Peptidases	ag	Nitrogen 	
M48B	HtpX peptidase (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
M48C	Oma1 peptidase (Saccharomyces cerevisiae)	Extracellular Peptidases	ag	Nitrogen 	
M50A	sporulation factor SpoIVFB (Bacillus subtilis)	Extracellular Peptidases	ag	Nitrogen 	
M50B	sporulation factor SpoIVFB (Bacillus subtilis)	Extracellular Peptidases	ag	Nitrogen 	
M54	archaelysin (Methanocaldococcus jannaschii)	Extracellular Peptidases	ag	Nitrogen 	
M55	D-aminopeptidase DppA (Bacillus subtilis)	Extracellular Peptidases	ag	Nitrogen 	
M56	BlaR1 peptidase (Staphylococcus aureus)	Extracellular Peptidases	ag	Nitrogen 	
M57	prtB g.p. (Myxococcus xanthus)	Extracellular Peptidases	ag	Nitrogen 	
M60	enhancin (Lymantria dispar nucleopolyhedrovirus)	Extracellular Peptidases	ag	Nitrogen 	
M61	glycyl aminopeptidase (Sphingomonas capsulata)	Extracellular Peptidases	ag	Nitrogen 	
M64	IgA peptidase (Clostridium ramosum)	Extracellular Peptidases	ag	Nitrogen 	
M66	StcE peptidase (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
M72	peptidyl-Asp metallopeptidase (Pseudomonas aeruginosa)	Extracellular Peptidases	ag	Nitrogen 	
M73	camelysin (Bacillus cereus)	Extracellular Peptidases	ag	Nitrogen 	
M74	murein endopeptidase (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
M75	imelysin (Pseudomonas aeruginosa)	Extracellular Peptidases	ag	Nitrogen 	
M76	Atp23 peptidase (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
M78	ImmA peptidase (Bacillus subtilis)	Extracellular Peptidases	ag	Nitrogen 	
M79		Extracellular Peptidases	ag	Nitrogen 	
M81	microcystinase MlrC (Sphingomonas sp. ACM-3962)	Extracellular Peptidases	ag	Nitrogen 	
M82	"	PrsW peptidase (Bacillus subtilis)"	Extracellular Peptidases	ag	Nitrogen 	
M84	MpriBi peptidase (Bacillus intermedius)	Extracellular Peptidases	ag	Nitrogen 	
M85	NleC peptidase (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
M86	PghP gamma-polyglutamate hydrolase (Bacillus phage phiNIT1)	Extracellular Peptidases	ag	Nitrogen 	
M88	IMPa peptidase (Pseudomonas aeruginosa)	Extracellular Peptidases	ag	Nitrogen 	
M93	BACCAC_01431 g.p. and similar (Bacteroides caccae)	Extracellular Peptidases	ag	Nitrogen 	
M96		Extracellular Peptidases	ag	Nitrogen 	
M97	EcxAB peptidase (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
M98	"	YghJ g.p. (Escherichia coli)"	Extracellular Peptidases	ag	Nitrogen 	
N04	Tsh-associated self-cleaving domain and similar (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
N10	intein-containing replicative DNA helicase precursor (Synechocystis sp. PCC 6803)	Extracellular Peptidases	ag	Nitrogen 	
N11	intein-containing chloroplast ATP-dependent peptide lyase (Chlamydomonas eugametos)	Extracellular Peptidases	ag	Nitrogen 	
P01	"	DmpA aminopeptidase (Ochrobactrum anthropi)"	Extracellular Peptidases	ag	Nitrogen 	
S1A	chymotrypsin A (Bos taurus)	Extracellular Peptidases	ag	Nitrogen 	
S1B	glutamyl endopeptidase I (Staphylococcus aureus)	Extracellular Peptidases	ag	Nitrogen 	
S1C	DegP peptidase (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S1D	lysyl endopeptidase (Achromobacter lyticus)	Extracellular Peptidases	ag	Nitrogen 	
S1E	streptogrisin A (Streptomyces griseus)	Extracellular Peptidases	ag	Nitrogen 	
S10	carboxypeptidase Y (Saccharomyces cerevisiae)	Extracellular Peptidases	ag	Nitrogen 	
S11	D-Ala-D-Ala carboxypeptidase A (Geobacillus stearothermophilus)	Extracellular Peptidases	ag	Nitrogen 	
S12	D-Ala-D-Ala carboxypeptidase B (Streptomyces lividans)	Extracellular Peptidases	ag	Nitrogen 	
S13	D-Ala-D-Ala peptidase C (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S14	peptidase Clp (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S15	Xaa-Pro dipeptidyl-peptidase (Lactococcus lactis)	Extracellular Peptidases	ag	Nitrogen 	
S16	Lon-A peptidase (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S24	repressor LexA (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S26A	signal peptidase I (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S26B	signalase 21 kDa component (Saccharomyces cerevisiae)	Extracellular Peptidases	ag	Nitrogen 	
S26C	TraF peptidase (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S33	prolyl aminopeptidase (Neisseria gonorrhoeae)	Extracellular Peptidases	ag	Nitrogen 	
S37	PS-10 peptidase (Streptomyces lividans)	Extracellular Peptidases	ag	Nitrogen 	
S41A	C-terminal processing peptidase-1 (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S41B	tricorn core peptidase (Thermoplasma acidophilum)	Extracellular Peptidases	ag	Nitrogen 	
S45	penicillin G acylase precursor (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S46	dipeptidyl-peptidase 7 (Porphyromonas gingivalis)	Extracellular Peptidases	ag	Nitrogen 	
S49	signal peptide peptidase A (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S49B	protein C (bacteriophage lambda)	Extracellular Peptidases	ag	Nitrogen 	
S49C	archaean signal peptide peptidase 1 (Pyrococcus horikoshii)	Extracellular Peptidases	ag	Nitrogen 	
S50	infectious pancreatic necrosis birnavirus Vp4 peptidase (infectious pancreatic necrosis virus)	Extracellular Peptidases	ag	Nitrogen 	
S51	dipeptidase E (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
S53	sedolisin (Pseudomonas sp. 101)	Extracellular Peptidases	ag	Nitrogen 	
S54	rhomboid-1 (Drosophila melanogaster)	Extracellular Peptidases	ag	Nitrogen 	
S55	SpoIVB peptidase (Bacillus subtilis)	Extracellular Peptidases	ag	Nitrogen 	
S59	nucleoporin 145 (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
S66	murein tetrapeptidase LD-carboxypeptidase (Pseudomonas aeruginosa)	Extracellular Peptidases	ag	Nitrogen 	
S73	gpO peptidase (Enterobacteria phage P2)	Extracellular Peptidases	ag	Nitrogen 	
T01	archaean proteasome, beta component (Thermoplasma acidophilum)	Extracellular Peptidases	ag	Nitrogen 	
T02	glycosylasparaginase precursor (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
T03	gamma-glutamyltransferase 1 (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
T05	ornithine acetyltransferase precursor (Saccharomyces cerevisiae)	Extracellular Peptidases	ag	Nitrogen 	
T07	CwpV self-cleaving threonine peptidase (Clostridium difficile)	Extracellular Peptidases	ag	Nitrogen 	
U32	collagenase (Porphyromonas gingivalis)	Extracellular Peptidases	ag	Nitrogen 	
U62		Extracellular Peptidases	ag	Nitrogen 	
U69	AIDA-I self-cleaving autotransporter protein (Escherichia coli)	Extracellular Peptidases	ag	Nitrogen 	
U72	Dop isopeptidase (Mycobacterium tuberculosis)	Extracellular Peptidases	ag	Nitrogen 	
U73		Extracellular Peptidases	ag	Nitrogen 	
U74	family U74 unassigned peptidases	Extracellular Peptidases	ag	Nitrogen 	
A22	presenilin 1 (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
A05	thermopsin (Sulfolobus acidocaldarius)	Extracellular Peptidases	ag	Nitrogen 	
S60	lactoferrin (Homo sapiens)	Extracellular Peptidases	ag	Nitrogen 	
M67	PSMD14 peptidase (Saccharomyces cerev	Extracellular Peptidases	ag	Nitrogen 	
