gene_id	gene_description	pathway	topic_ecosystem	category	subcategory	potential_amg
K10946	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Nitrification, ammonia => nitrite	Energy	Nitrogen		TRUE
K10535	hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]	Nitrification, ammonia => nitrite	Energy	Nitrogen		TRUE
K00370	nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K00371	nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K00374	nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K02567	periplasmic nitrate reductase NapA [EC:1.7.99.-] [RN:R00798]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K02568	cytochrome c-type protein NapB [RN:R00798]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K00368	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K15864	nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K04561	nitric oxide reductase [EC:1.7.2.5] [RN:R00294]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K02305	nitric oxide reductase [EC:1.7.2.5] [RN:R00294]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K15877	fungal nitric oxide reductase [EC:1.7.1.14] [RN:R02492 R09446 R09808 R09809]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K00376	nitrous-oxide reductase [EC:1.7.2.4] [RN:R02804]	Denitrification, nitrate => nitrogen	Energy	Nitrogen		TRUE
K00370	respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K00371	respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K00374	respiratory nitrate reductase 1 [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K02567	dissimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K02568	dissimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K00362	respiratory nitrite reductase [EC:1.7.1.15] [RN:R00787]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K00363	respiratory nitrite reductase [EC:1.7.1.15] [RN:R00787]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K03385	respiratory nitrite reductase [EC:1.7.2.2] [RN:R05712]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K15876	respiratory nitrite reductase [EC:1.7.2.2] [RN:R05712]	Dissimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K00367	assimilatory nitrate reductase [EC:1.7.7.2] [RN:R00791]	Assimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K10534	nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3] [RN:R00794 R00796]	Assimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K00372	assimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Assimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K00360	assimilatory nitrate reductase [EC:1.7.99.-] [RN:R00798]	Assimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K00366	assimilatory nitrite reductase [EC:1.7.7.1] [RN:R00790]	Assimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K17877	assimilatory nitrite reductase [EC:1.7.1.4] [RN:R00787 R00789]	Assimilatory nitrate reduction, nitrate => ammonia	Energy	Nitrogen		TRUE
K02575	NRT; MFS transporter, NNP family, nitrate/nitrite transporter	Nitrate assimilation	Energy	Nitrogen		TRUE
K10944	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Complete nitrification, comammox, ammonia => nitrite => nitrate	Energy	Nitrogen		TRUE
K10945	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Complete nitrification, comammox, ammonia => nitrite => nitrate	Energy	Nitrogen		TRUE
K10946	ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]	Complete nitrification, comammox, ammonia => nitrite => nitrate	Energy	Nitrogen		TRUE
K10535	hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]	Complete nitrification, comammox, ammonia => nitrite => nitrate	Energy	Nitrogen		TRUE
K00370	nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	Complete nitrification, comammox, ammonia => nitrite => nitrate	Energy	Nitrogen		TRUE
K00371	nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	Complete nitrification, comammox, ammonia => nitrite => nitrate	Energy	Nitrogen		TRUE
K20935	hdh; hydrazine dehydrogenase	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	TRUE
K20932	hzs; Hydrazine synthase subunit (aka: hzsC) [EC:1.7.2.7] [RN:R09799]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	TRUE
K20933	hzs; Hydrazine synthase subunit (aka: hzsC) [EC:1.7.2.7] [RN:R09799]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	TRUE
K20934	hzs; Hydrazine synthase subunit (aka: hzsC) [EC:1.7.2.7] [RN:R09799]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	TRUE
K20935	hzs; Hydrazine synthase subunit (aka: hzsC) [EC:1.7.2.7] [RN:R09799]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	TRUE
K10535	hox, hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	TRUE
K00368	nir, nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	TRUE
K15864	nir, nitrite reductase (NO-forming) [EC:1.7.2.1] [RN:R00783 R00785]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	TRUE
K00370	nxr, nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	TRUE
K00371	nxr, nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]	nitrite + ammonia => nitrogen	Energy	Nitrogen	nitrite + ammonia => nitrogen	TRUE
EC:1.16.1.1	mercury(II) reductase	Mercury	Energy	Metal Reduction		TRUE
EC:1.20.4.1	arsenate reductase (glutaredoxin); ArsC (ambiguous)	Arsenate	Energy	Metal Reduction		TRUE
EC:1.20.99.1	arsenate reductase (donor); arsenate:(acceptor) oxidoreductase	Arsenate	Energy	Metal Reduction		TRUE
K17050	selenate/chlorate reductase subunit alpha[EC:1.97.1.9 1.97.1.1]	Selenate/Chlorate	Energy	Metal Reduction		TRUE
K00436	NAD-reducing hydrogenase large subunit [EC:1.12.1.2]	hydrogenase	Energy	Hydrogenases		TRUE
K00437	[NiFe] hydrogenase large subunit [EC:1.12.2.1]	hydrogenase	Energy	Hydrogenases		TRUE
K00440	coenzyme F420 hydrogenase subunit alpha [EC:1.12.98.1]	hydrogenase	Energy	Hydrogenases		TRUE
K00441	coenzyme F420 hydrogenase subunit beta [EC:1.12.98.1]	hydrogenase	Energy	Hydrogenases		TRUE
K00442	coenzyme F420 hydrogenase subunit delta	hydrogenase	Energy	Hydrogenases		TRUE
K00443	coenzyme F420 hydrogenase subunit gamma [EC:1.12.98.1]	hydrogenase	Energy	Hydrogenases		TRUE
K00532	ferredoxin hydrogenase [EC:1.12.7.2]	hydrogenase	Energy	Hydrogenases		TRUE
K00533	ferredoxin hydrogenase large subunit [EC:1.12.7.2]	hydrogenase	Energy	Hydrogenases		TRUE
K00534	ferredoxin hydrogenase small subunit [EC:1.12.7.2]	hydrogenase	Energy	Hydrogenases		TRUE
K05586	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]	hydrogenase	Energy	Hydrogenases		TRUE
K05587	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]	hydrogenase	Energy	Hydrogenases		TRUE
K05588	bidirectional [NiFe] hydrogenase diaphorase subunit [EC:7.1.1.2]	hydrogenase	Energy	Hydrogenases		TRUE
K06441	ferredoxin hydrogenase gamma subunit [EC:1.12.7.2]	hydrogenase	Energy	Hydrogenases		TRUE
K06862	energy-converting hydrogenase B subunit Q	hydrogenase	Energy	Hydrogenases		TRUE
K13942	5,10-methenyltetrahydromethanopterin hydrogenase [EC:1.12.98.2]	hydrogenase	Energy	Hydrogenases		TRUE
K14068	methanophenazine hydrogenase, large subunit [EC:1.12.98.3]	hydrogenase	Energy	Hydrogenases		TRUE
K14069	methanophenazine hydrogenase, cytochrome b subunit [EC:1.12.98.3]	hydrogenase	Energy	Hydrogenases		TRUE
K14070	methanophenazine hydrogenase [EC:1.12.98.3]	hydrogenase	Energy	Hydrogenases		TRUE
K14086	ech hydrogenase subunit A	hydrogenase	Energy	Hydrogenases		TRUE
K14087	ech hydrogenase subunit B	hydrogenase	Energy	Hydrogenases		TRUE
K14088	ech hydrogenase subunit C	hydrogenase	Energy	Hydrogenases		TRUE
K14089	ech hydrogenase subunit D	hydrogenase	Energy	Hydrogenases		TRUE
K14090	ech hydrogenase subunit E	hydrogenase	Energy	Hydrogenases		TRUE
K14091	ech hydrogenase subunit F	hydrogenase	Energy	Hydrogenases		TRUE
K14092	energy-converting hydrogenase A subunit A	hydrogenase	Energy	Hydrogenases		TRUE
K14093	energy-converting hydrogenase A subunit B	hydrogenase	Energy	Hydrogenases		TRUE
K14094	energy-converting hydrogenase A subunit C	hydrogenase	Energy	Hydrogenases		TRUE
